Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Rank Time UT,Rank Time GO,Rank Stride Length UT,Rank Stride Length GO,Rank diff,Mean Rank,Rating
182.0,402.32,205.0,21.2,11.8,2.08,2.02,7.28,7.1,-0.18,,,,,,4.0,2.0,1.0,1.0,3.0,2.2,100.0
183.0,205.0,205.0,10.0,10.4,2.43,2.32,6.97,7.18,0.21,,,,,,19.0,14.0,63.0,27.0,17.0,28.0,84.3
184.0,402.32,205.0,21.3,11.9,2.1,2.04,7.19,6.97,-0.22,,,,,,5.0,4.0,2.0,2.0,4.0,3.4,70.0
185.0,205.0,205.0,10.0,10.4,2.46,2.36,6.9,7.1,0.2,,,,,,19.0,14.0,74.0,36.0,22.0,33.0,79.5
186.0,205.0,205.0,10.1,11.0,2.37,2.25,7.04,6.98,-0.06,,,,,,53.0,69.0,49.0,50.0,52.0,54.6,58.7
187.0,205.0,205.0,9.4,10.9,2.66,2.53,6.9,6.41,-0.49,,,,,,2.0,44.0,74.0,109.0,102.0,66.2,47.6
188.0,205.0,205.0,9.4,10.7,2.63,2.49,6.96,6.6,-0.36,,,,,,2.0,33.0,67.0,97.0,95.0,58.8,54.7
189.0,205.0,205.0,10.0,10.3,2.55,2.47,6.7,6.91,0.21,,,,,,19.0,3.0,98.0,63.0,17.0,40.0,72.8
190.0,205.0,205.0,10.0,10.4,2.46,2.36,6.9,7.1,0.2,,,,,,19.0,14.0,74.0,36.0,22.0,33.0,79.5
191.0,205.0,205.0,10.1,10.9,2.26,2.2,7.3,7.16,-0.15,,,,,,53.0,44.0,19.0,32.0,70.0,43.6,69.3
192.0,203.32,205.0,9.4,10.9,2.55,2.44,7.06,6.59,-0.46,,,,,,1.0,1.0,4.0,5.0,5.0,3.2,22.9
193.0,203.32,205.0,10.1,11.0,2.17,2.11,7.47,7.34,-0.13,,,,,,2.0,3.0,1.0,1.0,3.0,2.0,100.0
194.0,203.32,205.0,10.2,11.0,2.43,2.35,6.78,6.74,-0.04,,,,,,3.0,3.0,5.0,4.0,2.0,3.4,10.0
195.0,203.32,205.0,10.2,11.0,2.2,2.12,7.32,7.3,-0.02,,,,,,3.0,3.0,2.0,2.0,1.0,2.2,87.1
196.0,203.32,205.0,10.2,10.9,2.2,2.22,7.32,7.1,-0.21,,,,,,3.0,1.0,2.0,3.0,4.0,2.6,61.4
197.0,,,,,,,,,,,,,,,,,,,,,
198.0,,,,,,,,,,,,,,,,,,,,,
199.0,,,,,,,,,,,,,,,,,,,,,
200.0,,,,,,,,,,,,,,,,,,,,,
201.0,,,,,,,,,,,,,,,,,,,,,
202.0,,,,,,,,,,,,,,,,,,,,,
203.0,,,,,,,,,,,,,,,,,,,,,
204.0,,,,,,,,,,,,,,,,,,,,,
205.0,,,,,,,,,,,,,,,,,,,,,
206.0,,,,,,,,,,,,,,,,,,,,,
207.0,,,,,,,,,,,,,,,,,,,,,
208.0,,,,,,,,,,,,,,,,,,,,,
209.0,,,,,,,,,,,,,,,,,,,,,
210.0,,,,,,,,,,,,,,,,,,,,,
211.0,,,,,,,,,,,,,,,,,,,,,
212.0,,,,,,,,,,,,,,,,,,,,,
213.0,,,,,,,,,,,,,,,,,,,,,
214.0,,,,,,,,,,,,,,,,,,,,,
215.0,,,,,,,,,,,,,,,,,,,,,
216.0,,,,,,,,,,,,,,,,,,,,,
217.0,,,,,,,,,,,,,,,,,,,,,
218.0,,,,,,,,,,,,,,,,,,,,,
219.0,,,,,,,,,,,,,,,,,,,,,
220.0,,,,,,,,,,,,,,,,,,,,,
221.0,,,,,,,,,,,,,,,,,,,,,
222.0,,,,,,,,,,,,,,,,,,,,,
223.0,,,,,,,,,,,,,,,,,,,,,
224.0,,,,,,,,,,,,,,,,,,,,,
225.0,,,,,,,,,,,,,,,,,,,,,
226.0,,,,,,,,,,,,,,,,,,,,,
227.0,,,,,,,,,,,,,,,,,,,,,
228.0,,,,,,,,,,,,,,,,,,,,,
229.0,,,,,,,,,,,,,,,,,,,,,
230.0,,,,,,,,,,,,,,,,,,,,,
231.0,,,,,,,,,,,,,,,,,,,,,
232.0,,,,,,,,,,,,,,,,,,,,,
233.0,,,,,,,,,,,,,,,,,,,,,
234.0,,,,,,,,,,,,,,,,,,,,,
235.0,,,,,,,,,,,,,,,,,,,,,
236.0,,,,,,,,,,,,,,,,,,,,,
237.0,,,,,,,,,,,,,,,,,,,,,
238.0,,,,,,,,,,,,,,,,,,,,,
239.0,,,,,,,,,,,,,,,,,,,,,
240.0,,,,,,,,,,,,,,,,,,,,,
241.0,,,,,,,,,,,,,,,,,,,,,
242.0,,,,,,,,,,,,,,,,,,,,,
243.0,,,,,,,,,,,,,,,,,,,,,
244.0,,,,,,,,,,,,,,,,,,,,,
245.0,,,,,,,,,,,,,,,,,,,,,
246.0,,,,,,,,,,,,,,,,,,,,,
247.0,,,,,,,,,,,,,,,,,,,,,
248.0,,,,,,,,,,,,,,,,,,,,,
249.0,,,,,,,,,,,,,,,,,,,,,
250.0,,,,,,,,,,,,,,,,,,,,,
251.0,,,,,,,,,,,,,,,,,,,,,
252.0,,,,,,,,,,,,,,,,,,,,,
253.0,,,,,,,,,,,,,,,,,,,,,
254.0,,,,,,,,,,,,,,,,,,,,,
255.0,,,,,,,,,,,,,,,,,,,,,
256.0,,,,,,,,,,,,,,,,,,,,,
257.0,,,,,,,,,,,,,,,,,,,,,
258.0,,,,,,,,,,,,,,,,,,,,,
259.0,,,,,,,,,,,,,,,,,,,,,
260.0,,,,,,,,,,,,,,,,,,,,,
261.0,,,,,,,,,,,,,,,,,,,,,
262.0,,,,,,,,,,,,,,,,,,,,,
263.0,,,,,,,,,,,,,,,,,,,,,
264.0,,,,,,,,,,,,,,,,,,,,,
265.0,,,,,,,,,,,,,,,,,,,,,
266.0,,,,,,,,,,,,,,,,,,,,,
267.0,,,,,,,,,,,,,,,,,,,,,
268.0,,,,,,,,,,,,,,,,,,,,,
269.0,,,,,,,,,,,,,,,,,,,,,
270.0,,,,,,,,,,,,,,,,,,,,,
271.0,,,,,,,,,,,,,,,,,,,,,
272.0,,,,,,,,,,,,,,,,,,,,,
273.0,,,,,,,,,,,,,,,,,,,,,
274.0,,,,,,,,,,,,,,,,,,,,,
275.0,,,,,,,,,,,,,,,,,,,,,
276.0,,,,,,,,,,,,,,,,,,,,,
277.0,,,,,,,,,,,,,,,,,,,,,
278.0,,,,,,,,,,,,,,,,,,,,,
279.0,,,,,,,,,,,,,,,,,,,,,
280.0,,,,,,,,,,,,,,,,,,,,,
281.0,,,,,,,,,,,,,,,,,,,,,
282.0,,,,,,,,,,,,,,,,,,,,,
283.0,,,,,,,,,,,,,,,,,,,,,
284.0,,,,,,,,,,,,,,,,,,,,,
285.0,,,,,,,,,,,,,,,,,,,,,
286.0,,,,,,,,,,,,,,,,,,,,,
287.0,,,,,,,,,,,,,,,,,,,,,
288.0,,,,,,,,,,,,,,,,,,,,,
289.0,,,,,,,,,,,,,,,,,,,,,
290.0,,,,,,,,,,,,,,,,,,,,,
291.0,,,,,,,,,,,,,,,,,,,,,
292.0,,,,,,,,,,,,,,,,,,,,,
293.0,,,,,,,,,,,,,,,,,,,,,
294.0,,,,,,,,,,,,,,,,,,,,,
295.0,,,,,,,,,,,,,,,,,,,,,
296.0,,,,,,,,,,,,,,,,,,,,,
297.0,,,,,,,,,,,,,,,,,,,,,
298.0,,,,,,,,,,,,,,,,,,,,,
299.0,,,,,,,,,,,,,,,,,,,,,
300.0,,,,,,,,,,,,,,,,,,,,,
301.0,,,,,,,,,,,,,,,,,,,,,
302.0,,,,,,,,,,,,,,,,,,,,,
303.0,,,,,,,,,,,,,,,,,,,,,
304.0,,,,,,,,,,,,,,,,,,,,,
305.0,,,,,,,,,,,,,,,,,,,,,
306.0,,,,,,,,,,,,,,,,,,,,,
307.0,,,,,,,,,,,,,,,,,,,,,
308.0,,,,,,,,,,,,,,,,,,,,,
309.0,,,,,,,,,,,,,,,,,,,,,
310.0,,,,,,,,,,,,,,,,,,,,,
311.0,,,,,,,,,,,,,,,,,,,,,
312.0,,,,,,,,,,,,,,,,,,,,,
313.0,,,,,,,,,,,,,,,,,,,,,
314.0,,,,,,,,,,,,,,,,,,,,,
315.0,,,,,,,,,,,,,,,,,,,,,
316.0,,,,,,,,,,,,,,,,,,,,,
317.0,,,,,,,,,,,,,,,,,,,,,
318.0,,,,,,,,,,,,,,,,,,,,,
319.0,,,,,,,,,,,,,,,,,,,,,
320.0,,,,,,,,,,,,,,,,,,,,,
321.0,,,,,,,,,,,,,,,,,,,,,
322.0,,,,,,,,,,,,,,,,,,,,,
323.0,,,,,,,,,,,,,,,,,,,,,
324.0,,,,,,,,,,,,,,,,,,,,,
325.0,,,,,,,,,,,,,,,,,,,,,
326.0,,,,,,,,,,,,,,,,,,,,,
327.0,,,,,,,,,,,,,,,,,,,,,
328.0,,,,,,,,,,,,,,,,,,,,,
